uid,jobid,skill_match,experience_gap,location_match,education_match,job_type_match,mode_match,label,snapshot_at
9180,514851,52.99,4.74,1,1,1,1,0.7476,2025-03-09 13:54:56
8518,249812,63.58,4.98,0,1,1,1,0.6455,2025-06-14 13:54:56
3288,358608,67.64,3.47,1,1,1,1,0.7946,2025-03-30 13:54:56
9831,375505,55.63,4.37,0,1,0,1,0.5165,2025-03-24 13:54:56
8020,711879,68.78,3.74,1,0,0,1,0.5722,2025-05-10 13:54:56
6931,329975,36.27,1.84,1,1,1,1,0.6378,2025-07-16 13:54:56
9349,617489,39.04,5.07,0,1,0,1,0.3967,2025-07-28 13:54:56
1772,214976,72.33,2.17,0,1,0,1,0.6159,2025-07-12 13:54:56
3622,930556,53.97,2.57,1,1,1,1,0.7893,2025-02-27 13:54:56
7917,725381,61.55,9.07,0,0,1,1,0.3744,2025-08-04 13:54:56
7305,500157,31.67,3.53,1,1,1,0,0.7,2025-03-21 13:54:56
8669,654817,8.22,6.04,1,0,1,1,0.3887,2025-06-17 13:54:56
1189,813329,28.45,2.52,1,1,1,0,0.6159,2025-07-22 13:54:56
9798,887353,29.84,4.63,1,0,0,1,0.3704,2025-06-13 13:54:56
6574,216971,71.55,8.68,1,1,0,0,0.6503,2025-06-06 13:54:56
8124,265841,39.04,5.68,1,1,1,0,0.5047,2025-04-26 13:54:56
1054,857169,71.64,2.61,1,1,1,0,0.7816,2025-06-14 13:54:56
9202,898976,15.31,3.6,0,0,1,1,0.2922,2025-07-06 13:54:56
9318,211580,22.3,0.91,0,0,0,1,0.2814,2025-03-13 13:54:56
5890,982555,65.64,0.4,1,1,0,0,0.7152,2025-03-10 13:54:56
9318,738552,47.64,1.67,1,0,1,1,0.542,2025-07-01 13:54:56
3505,492078,54.6,2.12,1,0,1,1,0.6283,2025-07-10 13:54:56
9838,916450,60.69,7.56,1,1,0,1,0.6356,2025-04-07 13:54:56
1010,728039,64.66,0.13,1,1,1,1,0.787,2025-05-30 13:54:56
9006,120423,14.79,0.55,0,0,0,1,0.2738,2025-07-23 13:54:56
6948,972065,68.18,1.78,1,1,1,0,0.7417,2025-06-03 13:54:56
4924,160739,77.51,2.51,1,0,1,1,0.7871,2025-06-20 13:54:56
2291,189815,15.81,4.42,0,1,1,0,0.2919,2025-04-18 13:54:56
2134,897550,39.17,5.52,0,1,1,1,0.4675,2025-04-06 13:54:56
3061,234629,8.64,3.61,1,0,0,1,0.3321,2025-03-05 13:54:56
8788,676511,64.56,1.04,0,1,1,1,0.6659,2025-07-09 13:54:56
5343,653307,70.53,3.61,1,0,1,1,0.6594,2025-03-18 13:54:56
7933,322087,60.3,3.21,0,1,1,0,0.6156,2025-04-04 13:54:56
4296,847582,64.37,3.05,0,0,0,1,0.459,2025-06-02 13:54:56
7538,804315,61.06,5.61,0,1,0,1,0.4565,2025-03-07 13:54:56
7119,559382,34.42,5.11,1,1,1,0,0.6533,2025-04-10 13:54:56
8398,226883,5.6,3.34,1,1,0,1,0.3993,2025-06-18 13:54:56
4682,167137,39.37,0.13,1,1,1,1,0.7785,2025-05-26 13:54:56
1345,716887,31.3,2.67,1,0,0,0,0.4766,2025-04-01 13:54:56
4771,717025,68.21,1.37,1,1,0,1,0.6807,2025-06-25 13:54:56
1118,174442,50.56,1.81,1,1,0,1,0.7009,2025-03-12 13:54:56
1965,340063,14.88,2.68,1,0,1,0,0.5844,2025-08-03 13:54:56
1515,446480,30.88,7.01,1,1,1,0,0.5478,2025-08-02 13:54:56
9424,349566,75.96,0.17,1,0,0,1,0.6961,2025-06-10 13:54:56
8954,324644,38.0,0.89,0,1,0,1,0.4667,2025-04-04 13:54:56
3168,858491,33.43,3.83,1,1,0,0,0.4236,2025-03-27 13:54:56
8745,354802,82.65,5.65,1,1,1,1,0.88,2025-04-21 13:54:56
7670,299660,6.76,2.21,0,1,1,1,0.4161,2025-07-27 13:54:56
2589,790994,66.05,2.63,0,0,1,1,0.4972,2025-05-02 13:54:56
6805,544155,48.23,0.44,1,1,1,0,0.8152,2025-05-07 13:54:56
8652,864492,95.05,1.34,0,0,1,0,0.5817,2025-08-07 13:54:56
2613,163557,77.49,1.56,0,1,1,1,0.7336,2025-05-09 13:54:56
6560,939483,64.98,2.87,1,0,1,0,0.6616,2025-07-24 13:54:56
5074,300897,56.43,7.94,1,1,1,0,0.5288,2025-07-03 13:54:56
9787,570406,69.73,4.36,1,1,1,1,0.856,2025-07-16 13:54:56
7913,292402,68.61,2.48,1,1,0,1,0.7657,2025-06-10 13:54:56
8580,361942,74.72,5.66,1,1,1,1,0.7624,2025-08-01 13:54:56
8261,947273,63.29,1.11,0,0,1,0,0.5179,2025-04-02 13:54:56
2605,153046,29.95,3.09,1,1,1,0,0.6437,2025-03-07 13:54:56
9857,976639,61.45,6.73,1,1,1,1,0.6272,2025-08-17 13:54:56
2529,890171,18.68,1.65,0,0,0,0,0.1449,2025-06-21 13:54:56
3725,526157,14.18,1.86,1,1,0,1,0.5779,2025-04-18 13:54:56
8887,324131,83.04,0.91,0,1,1,0,0.6954,2025-05-10 13:54:56
1961,272635,41.17,3.91,0,0,1,1,0.3944,2025-05-15 13:54:56
1036,509387,65.51,1.34,1,1,1,1,0.7928,2025-06-14 13:54:56
8455,399106,80.23,0.31,1,0,0,1,0.5407,2025-05-04 13:54:56
8974,262317,41.14,5.63,1,0,1,1,0.5986,2025-07-03 13:54:56
5862,328276,43.38,4.02,1,1,1,0,0.6246,2025-08-06 13:54:56
9884,163919,26.9,1.32,1,0,1,1,0.5824,2025-06-01 13:54:56
1937,152579,40.29,8.99,0,1,1,1,0.4918,2025-03-24 13:54:56
8812,627277,26.32,3.08,1,0,1,0,0.4696,2025-04-07 13:54:56
3580,159643,63.76,3.63,0,0,1,1,0.569,2025-04-12 13:54:56
2313,992698,89.5,4.1,1,1,0,0,0.7822,2025-07-04 13:54:56
2123,723940,60.08,2.2,1,0,1,1,0.7412,2025-08-03 13:54:56
4854,523390,73.23,6.83,1,1,0,1,0.6917,2025-07-21 13:54:56
5034,707041,51.31,6.49,0,1,1,1,0.474,2025-03-21 13:54:56
1652,749469,63.11,7.9,1,0,1,0,0.5127,2025-07-31 13:54:56
7869,789306,74.25,4.77,0,1,1,1,0.6504,2025-03-24 13:54:56
9566,431738,38.33,0.98,1,1,0,0,0.54,2025-06-15 13:54:56
4347,802259,71.64,1.66,1,1,0,0,0.7172,2025-06-01 13:54:56
4911,378518,32.33,0.56,1,1,1,0,0.6739,2025-05-11 13:54:56
3145,804319,34.77,0.43,1,0,0,0,0.4289,2025-03-08 13:54:56
5916,579435,39.61,8.93,1,0,1,1,0.4235,2025-06-01 13:54:56
2189,109768,64.89,2.51,1,1,1,0,0.6814,2025-04-25 13:54:56
2639,176820,62.55,2.38,1,0,1,1,0.7291,2025-04-05 13:54:56
4493,630459,34.41,3.69,1,0,0,1,0.4801,2025-06-14 13:54:56
3171,465963,34.78,1.39,1,0,1,0,0.5801,2025-08-03 13:54:56
5003,487478,76.0,5.98,0,1,1,0,0.4796,2025-06-09 13:54:56
3585,559470,84.98,1.22,1,0,0,0,0.7079,2025-04-03 13:54:56
5957,741391,63.2,3.79,1,0,0,0,0.5294,2025-03-06 13:54:56
9667,108204,24.86,2.26,1,0,0,1,0.4613,2025-03-03 13:54:56
5906,795614,41.19,6.19,1,0,0,0,0.344,2025-07-25 13:54:56
3201,377313,72.88,8.24,0,1,1,1,0.5751,2025-07-22 13:54:56
2754,878481,75.01,5.65,1,1,1,0,0.6825,2025-04-01 13:54:56
3547,385578,69.61,0.24,0,1,1,1,0.7407,2025-06-09 13:54:56
4451,852471,75.79,5.39,1,1,1,1,0.8598,2025-05-25 13:54:56
4336,820893,48.19,2.55,1,0,1,1,0.5642,2025-03-11 13:54:56
5326,629960,21.33,5.53,1,0,1,1,0.452,2025-04-17 13:54:56
5115,987205,78.88,2.44,1,1,1,1,0.8542,2025-08-07 13:54:56
2513,765096,71.89,1.66,0,0,1,1,0.5088,2025-05-04 13:54:56
5534,146229,76.46,5.32,0,0,1,0,0.5917,2025-08-20 13:54:56
6465,908578,46.11,3.17,0,1,1,1,0.6392,2025-07-18 13:54:56
5292,269431,50.16,1.71,1,1,1,0,0.804,2025-04-29 13:54:56
8008,688154,22.46,0.48,1,1,1,0,0.6442,2025-08-18 13:54:56
2833,178899,53.75,2.63,1,1,0,1,0.655,2025-02-25 13:54:56
3443,672093,16.79,0.09,1,1,1,1,0.7473,2025-08-11 13:54:56
7050,710806,34.49,0.75,0,0,0,1,0.3221,2025-04-01 13:54:56
3427,550665,84.77,3.48,1,1,1,1,0.8882,2025-07-19 13:54:56
1686,423233,68.32,4.17,0,1,0,1,0.5436,2025-05-19 13:54:56
1654,475191,67.04,5.77,1,0,1,0,0.6331,2025-06-28 13:54:56
5089,799331,67.03,3.08,0,1,1,1,0.6411,2025-07-25 13:54:56
6795,918012,64.18,3.01,1,1,1,1,0.8219,2025-03-30 13:54:56
7659,750811,35.6,2.75,1,1,1,1,0.6826,2025-07-12 13:54:56
4879,270396,22.23,4.11,1,1,1,1,0.5618,2025-07-06 13:54:56
7756,125991,35.57,2.53,1,0,1,0,0.4761,2025-07-06 13:54:56
6443,920392,41.56,2.69,1,0,1,0,0.4636,2025-05-07 13:54:56
5066,379767,54.45,1.86,0,1,0,1,0.6051,2025-07-11 13:54:56
2772,501125,43.21,2.98,1,1,1,1,0.7134,2025-08-11 13:54:56
8712,333239,2.02,1.6,1,1,1,1,0.5648,2025-06-30 13:54:56
8542,466644,94.45,0.86,1,0,0,0,0.7301,2025-06-03 13:54:56
4729,333753,39.41,6.09,0,1,0,0,0.3279,2025-08-14 13:54:56
4165,517822,22.53,6.91,1,1,1,0,0.4914,2025-05-28 13:54:56
5565,172793,15.86,8.97,1,1,1,1,0.4537,2025-06-10 13:54:56
6754,772643,66.23,8.54,0,0,1,0,0.401,2025-04-12 13:54:56
7549,812527,39.75,0.64,0,0,1,1,0.523,2025-04-05 13:54:56
6426,128942,79.23,1.53,1,1,1,1,0.8737,2025-07-22 13:54:56
5280,287242,23.34,7.09,1,1,0,0,0.427,2025-03-25 13:54:56
5350,140116,76.55,1.84,1,1,1,1,0.8556,2025-07-24 13:54:56
8120,462480,41.49,3.97,1,1,0,1,0.6233,2025-06-01 13:54:56
8150,735657,69.99,6.21,1,1,1,1,0.7567,2025-04-12 13:54:56
2895,503907,90.27,6.37,0,1,0,0,0.5674,2025-03-26 13:54:56
4115,367096,64.05,7.51,1,0,1,1,0.6257,2025-08-09 13:54:56
8145,101774,47.08,0.15,1,0,1,0,0.6678,2025-04-09 13:54:56
9822,820222,69.35,7.68,1,1,1,1,0.7038,2025-03-02 13:54:56
4229,481914,8.72,0.84,1,0,1,1,0.6459,2025-05-02 13:54:56
2147,796504,61.43,4.84,1,0,0,0,0.4715,2025-05-28 13:54:56
6144,795613,45.88,0.93,1,1,0,0,0.6053,2025-07-20 13:54:56
5921,631757,79.8,8.06,1,0,1,1,0.7179,2025-06-02 13:54:56
7692,442028,15.76,0.86,0,0,1,0,0.2511,2025-05-09 13:54:56
5845,681344,62.57,2.28,1,0,1,1,0.649,2025-07-19 13:54:56
4144,540870,49.53,7.82,1,1,0,1,0.5615,2025-03-03 13:54:56
7212,810220,40.08,1.89,0,1,0,0,0.4073,2025-07-07 13:54:56
5931,525801,73.82,0.26,0,1,0,1,0.552,2025-04-02 13:54:56
1007,418636,27.38,4.05,0,1,1,1,0.423,2025-06-08 13:54:56
4444,550771,51.72,2.39,1,0,0,0,0.5407,2025-03-25 13:54:56
6280,587576,63.24,2.69,1,0,1,1,0.6951,2025-04-29 13:54:56
8245,808447,26.06,5.21,1,1,1,0,0.6199,2025-06-27 13:54:56
9376,596172,64.36,0.1,1,1,1,0,0.7874,2025-07-08 13:54:56
2390,397572,43.93,2.27,1,0,1,1,0.6959,2025-04-11 13:54:56
6492,197924,36.3,1.81,1,1,1,1,0.7472,2025-06-21 13:54:56
6086,335553,37.61,0.04,1,1,1,0,0.6723,2025-07-01 13:54:56
3415,125612,60.37,3.77,1,0,1,1,0.6921,2025-08-09 13:54:56
5012,598217,72.44,3.78,1,0,0,1,0.7037,2025-03-17 13:54:56
2194,577539,50.54,1.44,1,1,1,1,0.7582,2025-05-06 13:54:56
4186,853241,56.77,0.68,1,0,0,1,0.5853,2025-02-23 13:54:56
7292,618393,20.07,1.53,1,0,1,1,0.5515,2025-05-10 13:54:56
4998,254740,76.71,6.06,0,0,1,0,0.4601,2025-03-06 13:54:56
1091,887444,61.12,8.32,0,0,1,1,0.4643,2025-07-24 13:54:56
7966,329472,54.37,1.78,1,0,1,1,0.689,2025-07-06 13:54:56
9487,587116,76.79,2.23,1,0,1,0,0.7224,2025-08-08 13:54:56
5083,989546,74.37,5.76,0,1,0,1,0.4868,2025-07-20 13:54:56
8479,239817,52.13,1.59,1,0,1,1,0.6981,2025-04-24 13:54:56
9703,686076,67.0,1.99,0,1,1,1,0.6415,2025-03-21 13:54:56
6199,891938,70.03,3.22,1,1,1,1,0.8485,2025-04-29 13:54:56
9271,547471,89.44,2.99,1,1,1,1,0.959,2025-04-02 13:54:56
8306,266890,74.28,2.31,1,1,1,1,0.9249,2025-04-21 13:54:56
8374,371783,72.42,3.08,1,1,0,0,0.667,2025-06-18 13:54:56
5544,903014,30.69,4.78,1,0,0,0,0.4314,2025-04-09 13:54:56
8940,757194,36.07,3.14,0,0,1,1,0.3939,2025-06-20 13:54:56
5500,561240,63.61,2.04,1,1,1,1,0.8597,2025-08-01 13:54:56
5682,345885,48.68,2.94,0,1,1,0,0.4943,2025-06-12 13:54:56
6503,435240,8.58,0.46,0,0,1,1,0.4364,2025-04-04 13:54:56
2321,245096,70.3,2.56,1,1,1,1,0.833,2025-07-13 13:54:56
4789,501642,35.1,1.88,1,1,0,0,0.4549,2025-02-24 13:54:56
3504,840735,46.25,3.78,1,1,1,0,0.6461,2025-06-27 13:54:56
2053,535021,67.46,3.28,1,0,1,1,0.7835,2025-05-08 13:54:56
6422,668970,82.39,1.27,0,1,1,0,0.7067,2025-04-23 13:54:56
7813,165291,58.49,1.87,1,1,1,1,0.8911,2025-06-29 13:54:56
7884,508397,50.26,2.46,1,0,0,0,0.447,2025-03-24 13:54:56
1321,998349,47.83,7.3,1,0,1,0,0.5074,2025-03-26 13:54:56
7233,600150,67.12,3.84,1,1,0,1,0.7703,2025-08-19 13:54:56
6764,413119,88.74,0.87,0,0,1,0,0.6406,2025-05-13 13:54:56
7866,664366,79.13,3.22,1,1,1,1,0.8668,2025-04-03 13:54:56
4614,611946,85.47,3.99,0,1,1,0,0.6754,2025-06-25 13:54:56
5472,557008,71.08,1.33,1,0,1,1,0.7516,2025-04-18 13:54:56
1476,507747,13.62,2.35,1,0,0,1,0.4196,2025-05-26 13:54:56
7625,859360,2.5,3.17,1,1,1,1,0.6049,2025-07-09 13:54:56
8658,233828,35.65,6.32,1,0,1,1,0.5638,2025-03-14 13:54:56
9752,128277,83.44,1.64,0,0,1,0,0.5742,2025-05-12 13:54:56
1445,188026,52.11,4.05,0,1,1,1,0.6067,2025-03-09 13:54:56
8023,242292,58.67,0.15,1,1,0,0,0.6871,2025-04-24 13:54:56
3978,152728,87.07,3.14,1,1,1,0,0.8274,2025-06-15 13:54:56
7212,443255,51.43,0.32,1,1,1,0,0.6723,2025-06-27 13:54:56
8450,442723,46.24,3.33,1,0,1,1,0.7277,2025-05-26 13:54:56
7212,391774,20.2,1.03,1,1,1,1,0.6025,2025-05-05 13:54:56
5134,975468,51.75,2.81,0,1,0,1,0.4695,2025-07-31 13:54:56
8706,120325,56.89,2.97,0,0,1,0,0.4546,2025-04-04 13:54:56
1854,466961,43.08,5.12,1,1,1,1,0.6666,2025-06-24 13:54:56
2125,919183,57.47,5.28,0,1,1,1,0.5215,2025-03-07 13:54:56
1660,890871,57.01,6.11,1,1,1,1,0.6337,2025-08-13 13:54:56
5052,309045,56.34,2.06,1,1,1,0,0.7157,2025-08-15 13:54:56
3497,350133,69.48,0.72,0,0,1,1,0.6674,2025-07-19 13:54:56
8759,801979,37.42,4.42,0,0,0,0,0.1742,2025-07-22 13:54:56
4572,587624,56.79,0.48,1,1,1,0,0.7944,2025-02-22 13:54:56
5199,904151,74.24,5.84,1,1,1,0,0.7182,2025-05-18 13:54:56
3750,735325,51.69,7.15,1,0,1,1,0.5973,2025-03-18 13:54:56
2877,915574,88.93,0.01,0,0,1,1,0.6707,2025-07-10 13:54:56
6097,213350,48.8,3.19,0,0,0,0,0.3483,2025-03-25 13:54:56
1421,427111,53.12,3.24,1,0,1,0,0.6296,2025-03-26 13:54:56
7150,515923,29.52,2.27,0,0,0,1,0.2682,2025-07-01 13:54:56
2246,720860,81.54,3.05,1,0,1,1,0.8745,2025-02-25 13:54:56
4979,206852,34.52,1.7,1,1,1,1,0.7065,2025-02-23 13:54:56
5942,991598,26.6,1.59,1,1,0,1,0.576,2025-02-26 13:54:56
2984,934905,72.24,3.96,1,0,1,1,0.7213,2025-03-29 13:54:56
1673,464070,29.67,2.5,1,1,0,1,0.5339,2025-04-06 13:54:56
8019,793656,35.5,3.3,0,1,1,0,0.4382,2025-05-18 13:54:56
2130,630539,26.81,6.46,1,1,1,1,0.6376,2025-03-08 13:54:56
6591,113267,83.67,5.18,0,0,1,0,0.4548,2025-05-05 13:54:56
9032,210666,58.86,4.56,1,1,1,1,0.704,2025-05-02 13:54:56
6935,766460,69.28,5.26,1,1,0,1,0.6443,2025-04-25 13:54:56
3507,556642,25.47,6.21,1,1,0,1,0.4242,2025-07-06 13:54:56
9549,782055,11.08,3.54,0,1,1,0,0.3491,2025-06-12 13:54:56
9818,912271,49.96,4.54,1,1,1,0,0.6016,2025-04-19 13:54:56
8617,556733,84.33,4.85,1,1,1,1,0.8277,2025-03-22 13:54:56
5398,437961,60.74,0.01,1,1,1,0,0.8189,2025-06-19 13:54:56
2420,392478,87.43,1.35,1,1,1,1,0.9353,2025-04-27 13:54:56
4996,886932,44.24,3.19,1,1,1,1,0.7381,2025-04-24 13:54:56
7210,452738,63.08,3.82,1,1,1,1,0.8149,2025-08-13 13:54:56
9099,992289,33.68,1.62,1,0,1,1,0.5988,2025-05-29 13:54:56
3980,611234,23.11,4.0,0,1,1,1,0.4649,2025-06-27 13:54:56
6814,936588,68.93,1.06,0,1,1,1,0.6613,2025-06-15 13:54:56
6577,393244,85.72,1.39,1,0,1,1,0.8222,2025-03-21 13:54:56
5527,682790,9.49,0.89,1,0,0,1,0.3347,2025-08-18 13:54:56
9465,300338,43.93,1.42,1,0,1,0,0.531,2025-07-30 13:54:56
4955,855054,57.27,1.81,1,1,1,0,0.6967,2025-05-08 13:54:56
9005,682145,28.62,0.27,1,1,1,0,0.609,2025-06-20 13:54:56
8801,777279,44.07,1.4,0,1,1,1,0.6398,2025-04-17 13:54:56
8343,931451,39.46,5.55,1,0,0,1,0.4604,2025-08-16 13:54:56
2525,408529,53.66,5.64,1,0,1,0,0.6103,2025-06-25 13:54:56
7626,825392,61.35,4.19,1,0,0,1,0.5105,2025-06-19 13:54:56
6017,796213,61.55,1.19,1,0,1,1,0.6421,2025-03-25 13:54:56
7047,596250,15.32,3.38,1,0,0,0,0.3319,2025-04-01 13:54:56
9699,460456,47.89,4.55,1,0,1,1,0.675,2025-05-04 13:54:56
6420,468901,50.48,3.95,1,1,1,0,0.6111,2025-02-22 13:54:56
8435,384077,65.79,0.14,1,1,1,1,0.7913,2025-06-03 13:54:56
5119,341737,14.6,8.48,1,0,1,0,0.3005,2025-07-21 13:54:56
4156,430877,43.03,2.46,1,0,1,1,0.5885,2025-07-21 13:54:56
9780,899214,14.83,4.87,1,1,0,0,0.4289,2025-02-25 13:54:56
4034,300846,43.36,1.55,1,1,1,1,0.6762,2025-06-26 13:54:56
8934,389931,41.52,1.81,1,1,0,1,0.5873,2025-03-23 13:54:56
9596,725781,57.15,8.67,0,1,0,1,0.3487,2025-06-09 13:54:56
2648,973075,47.39,5.43,1,0,0,0,0.477,2025-07-02 13:54:56
5854,338534,63.92,9.78,0,0,1,0,0.3817,2025-05-20 13:54:56
3940,416951,35.63,8.11,1,0,1,1,0.4997,2025-08-17 13:54:56
9752,232732,40.17,0.28,1,0,1,0,0.6179,2025-06-11 13:54:56
1746,157175,68.74,1.6,1,0,1,1,0.7404,2025-04-01 13:54:56
5787,831296,56.83,3.34,1,1,1,1,0.8484,2025-07-19 13:54:56
9043,207571,78.18,0.1,1,1,1,0,0.8576,2025-08-17 13:54:56
5659,592199,96.08,0.68,1,1,1,1,0.9813,2025-04-20 13:54:56
8217,457257,8.07,0.63,1,1,1,1,0.6105,2025-07-04 13:54:56
1842,364743,81.9,4.3,1,0,1,1,0.7751,2025-04-20 13:54:56
2870,962051,48.63,3.73,1,1,0,0,0.5269,2025-08-04 13:54:56
7566,615634,47.06,7.6,1,1,1,0,0.6398,2025-08-02 13:54:56
1879,259098,78.98,0.77,0,1,1,1,0.7113,2025-07-13 13:54:56
5979,189319,14.26,0.53,1,0,1,1,0.5892,2025-06-18 13:54:56
2941,685182,42.63,3.89,0,1,1,1,0.4744,2025-05-06 13:54:56
4698,913374,26.6,0.53,0,0,0,1,0.2478,2025-04-09 13:54:56
7233,572399,85.96,4.54,1,0,1,1,0.738,2025-04-29 13:54:56
5872,717114,50.34,4.77,1,1,0,0,0.5866,2025-05-03 13:54:56
6004,696252,32.78,3.5,1,1,0,0,0.5827,2025-03-15 13:54:56
1987,739245,39.22,3.66,1,1,1,1,0.7382,2025-07-26 13:54:56
4405,755901,52.29,0.04,0,1,1,1,0.7349,2025-06-27 13:54:56
5336,792510,45.58,5.16,0,1,1,1,0.5571,2025-07-31 13:54:56
3574,351517,20.48,2.51,1,0,0,1,0.3714,2025-07-07 13:54:56
2230,264137,27.56,0.91,0,0,1,1,0.4844,2025-08-20 13:54:56
7694,572388,58.19,4.17,1,0,1,0,0.6068,2025-02-25 13:54:56
8700,405408,71.61,2.05,1,0,1,1,0.7621,2025-08-12 13:54:56
4793,402100,52.77,0.09,1,1,0,1,0.7238,2025-02-21 13:54:56
5633,837136,61.93,1.91,1,1,1,0,0.7262,2025-04-26 13:54:56
2167,820776,49.98,2.15,0,0,0,1,0.3219,2025-06-22 13:54:56
5335,926098,67.57,0.63,0,0,1,1,0.5888,2025-03-13 13:54:56
4242,545791,56.74,0.05,1,1,0,1,0.6678,2025-07-22 13:54:56
9923,335730,52.22,2.83,1,0,1,0,0.543,2025-03-08 13:54:56
3442,378536,1.97,4.94,1,0,1,1,0.3498,2025-07-15 13:54:56
2170,162536,40.78,7.61,1,0,1,1,0.4845,2025-07-09 13:54:56
6040,723949,12.7,1.6,0,1,1,1,0.4071,2025-03-28 13:54:56
5729,560486,37.83,1.0,1,0,1,0,0.6034,2025-07-20 13:54:56
8680,822132,65.8,3.16,1,0,0,1,0.62,2025-06-04 13:54:56
7595,385471,79.37,4.54,1,0,1,0,0.6914,2025-04-14 13:54:56
9848,617782,69.36,3.88,1,0,1,1,0.6671,2025-04-30 13:54:56
2318,727087,87.63,3.86,0,1,1,1,0.7819,2025-08-10 13:54:56
8079,870215,40.02,3.89,1,1,1,0,0.6351,2025-05-30 13:54:56
5103,127122,45.16,3.36,1,0,0,1,0.5259,2025-07-28 13:54:56
4751,807054,39.04,0.89,1,1,0,1,0.676,2025-03-26 13:54:56
1340,901910,29.26,4.51,0,1,1,1,0.4418,2025-03-01 13:54:56
5416,704239,23.36,3.26,0,1,1,0,0.4449,2025-08-10 13:54:56
3871,593356,44.41,6.92,1,0,0,1,0.3983,2025-04-10 13:54:56
8246,391669,16.39,1.93,0,0,1,0,0.3242,2025-07-05 13:54:56
8142,765621,62.3,2.39,1,1,1,1,0.8297,2025-04-17 13:54:56
2495,592842,79.26,7.74,1,1,1,0,0.657,2025-05-23 13:54:56
7691,449500,74.7,0.67,1,0,1,1,0.7823,2025-05-30 13:54:56
2714,999399,34.49,8.46,0,1,1,0,0.4113,2025-07-10 13:54:56
6404,531642,65.52,6.32,1,0,1,0,0.6091,2025-02-24 13:54:56
9118,402219,80.28,9.74,1,0,0,1,0.5476,2025-03-04 13:54:56
7562,953086,74.96,1.23,1,1,1,0,0.8221,2025-04-02 13:54:56
1602,576920,66.13,8.16,1,0,1,1,0.6227,2025-07-29 13:54:56
6154,364660,82.2,1.69,1,0,0,1,0.7567,2025-05-30 13:54:56
2900,910076,29.73,1.11,1,1,1,1,0.7135,2025-05-09 13:54:56
9432,964999,98.68,0.53,1,1,1,1,0.9775,2025-08-20 13:54:56
9890,584418,26.05,2.97,0,0,1,1,0.415,2025-05-07 13:54:56
1889,296695,83.56,0.37,1,1,1,1,0.9185,2025-04-10 13:54:56
6928,752879,30.68,1.5,1,0,1,1,0.5934,2025-04-15 13:54:56
8243,896908,14.97,4.58,1,1,1,1,0.6496,2025-08-07 13:54:56
